Code,Product Name,Unit,NV ฿/unit,Lotus ฿/unit,Makro ฿/unit,Cheapest,Lotus % vs NV,Makro % vs NV
11195,โสมอินซัม,หีบ,7.45,8.8,8.4,NV,+18.1%,+12.8%
10987,ดีมอลต์UHT 180มล.,หีบ,7.67,—,392,NV,,+5010.8%
11398,จั่นแก้วน้ำตาลสด320มล.,หีบ,10.89,—,—,NV,,
12009,เลย์20บ. รสโนริสาหร่าย48ก.,หีบ,15.39,—,—,NV,,
11215,ร็อคเมาเท็นโซดา325มล.,หีบ,6.8,10,8,NV,+47.1%,+17.6%
10980,ดีน่า180มล.จมูกข้าวญี่ปุ่น,หีบ,7.66,8.75,—,NV,+14.2%,
10591,พันท้ายน้ำจิ้มสุกี้330ก.กวางตุ้ง,หีบ,47,60,159,NV,+27.7%,+238.3%
10983,ดีน่า110มล.รสงาดำ,หีบ,5.67,6.5,—,NV,+14.6%,
10310,คนอร์ซุปก้อน 40ก.หมู,หีบ,7.27,20,—,NV,+175.1%,
12216,เอลเซ่เลเยอร์เค้ก กลิ่นวนิลา,หีบ,2.25,42,—,NV,+1766.7%,
15788,แม่บุญล้ำน้ำปลาร้าฝาแดง400มล.,แพ็ค,22.81,—,27,NV,,+18.4%
11371,โค้ก 590มล.,แพ็ค,15.11,—,—,NV,,
21985,แบรนด์ซุปไก่65มล.,หีบ,45.06,49.92,—,NV,+10.8%,
21603,โชคสุชาวดี(แพร่)น้ำตาลปี๊บ1/2กก.,หีบ,14.14,—,16,NV,,+13.2%
10911,โอวัลติน3IN1 ซอง5บาท,หีบ,3.74,—,—,NV,,
11483,เมจิกฟาร์มขวด10บ.มะพร้าว,หีบ,7.53,—,1.33,Makro,,-82.3%
11358,โค้ก 500มล.,แพ็ค,13.99,—,12.42,Makro,,-11.2%
12262,โฮมมี่80ก. รสมะพร้าว,หีบ,7.56,—,—,NV,,
10797,อาราบัสกาแฟ3IN1 30ซ.ออริจินัล,หีบ,76.35,3.2,—,Lotus,-95.8%,
25382,โอโมซันชายน์ 2600ก.ฟลอรัล,หีบ,72.69,—,—,NV,,
11106,เบอร์ดี้กาแฟกป.เขียว,หีบ,12.21,—,—,NV,,
25919,LeDo เค้กนึ่งรสใบเตย,หีบ,3.8,—,—,NV,,
10971,ดัชมิลล์นมเปรี้ยว180มล.ส้ม,หีบ,7.73,—,185,NV,,+2293.3%
13046,โอโมน้ำยาล้างจาน400มล.เลมอน,หีบ,7.58,99,—,NV,+1206.1%,
10416,สายฝนวุ้นเส้น 35กรัม,หีบ,4.8,—,0.59,Makro,,-87.7%
25918,LeDo เค้กนึ่งรสนม,หีบ,3.78,—,—,NV,,
15510,จุฬาเฮิร์บครีมแตงโม8ก.รุ่นซอง,หีบ,42.49,49,—,NV,+15.3%,
11024,ไวตามิ้ลค์UHT300มล.งาดำข้าวสีนิล,หีบ,9.21,—,—,NV,,
26354,LeDo เค้กนึ่งรสมะพร้าว,หีบ,3.77,—,—,NV,,
24761,108Shopผงซักฟอก2600ก.,หีบ,72.34,—,—,NV,,
10152,มาม่าเส้นหมี่น้ำใส,หีบ,5.58,62,—,NV,+1011.1%,
12013,เลย์20บ. รสมันฝรั่งแท้(หยัก)40ก.,หีบ,15.3,—,—,NV,,
13758,เชนไดร์ทกำจัดปลวก300มล.,หีบ,58.15,—,—,NV,,
21604,โชคสุชาวดี(แพร่)น้ำตาลปี๊บ1กก.,หีบ,28.46,—,—,NV,,
